Document,Precision,Recall,F1-score
0,1.0,1.0,1.0
1,1.0,0.5,0.667
2,1.0,0.5,0.667
3,0.625,1.0,0.769
4,1.0,0.333,0.5
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,0.818,0.9
9,0.917,1.0,0.957
10,1.0,0.889,0.941
11,1.0,0.8,0.889
12,1.0,1.0,1.0
13,0.143,0.2,0.167
14,0.75,1.0,0.857
15,0.643,1.0,0.783
16,0.857,0.545,0.667
17,0.75,0.75,0.75
18,0.714,1.0,0.833
19,0.75,0.75,0.75
