Document,Precision,Recall,F1-score
0,1.0,1.0,1.0
1,0.667,1.0,0.8
2,1.0,1.0,1.0
3,0.833,1.0,0.909
4,1.0,0.667,0.8
5,0.889,1.0,0.941
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,0.833,1.0,0.909
9,0.917,1.0,0.957
10,0.889,1.0,0.941
11,0.667,1.0,0.8
12,1.0,1.0,1.0
13,0.538,1.0,0.7
14,0.75,1.0,0.857
15,0.9,1.0,0.947
16,0.818,1.0,0.9
17,1.0,0.8,0.889
18,1.0,1.0,1.0
19,0.6,1.0,0.75
