Document,Precision,Recall,F1-score
0,1.0,1.0,1.0
1,0.6,1.0,0.75
2,1.0,1.0,1.0
3,0.667,1.0,0.8
4,1.0,0.667,0.8
5,0.8,1.0,0.889
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,0.833,1.0,0.909
9,1.0,0.909,0.952
10,0.889,1.0,0.941
11,1.0,0.8,0.889
12,1.0,1.0,1.0
13,0.615,1.0,0.762
14,0.6,1.0,0.75
15,0.692,1.0,0.818
16,0.889,0.8,0.842
17,1.0,0.8,0.889
18,0.857,1.0,0.923
19,1.0,0.8,0.889
