Document,Precision,Recall,F1-score
0,0.6,1.0,0.75
1,0.667,1.0,0.8
2,1.0,1.0,1.0
3,0.625,1.0,0.769
4,1.0,0.667,0.8
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,0.917,1.0,0.957
9,0.917,1.0,0.957
10,0.889,1.0,0.941
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,0.533,1.0,0.696
14,1.0,1.0,1.0
15,0.692,1.0,0.818
16,0.833,1.0,0.909
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,0.8,0.889
