Document,Precision,Recall,F1-score
0,0.667,1.0,0.8
1,0.5,1.0,0.667
2,1.0,0.5,0.667
3,0.8,1.0,0.889
4,1.0,0.667,0.8
5,1.0,1.0,1.0
6,0.8,1.0,0.889
7,1.0,0.8,0.889
8,1.0,0.909,0.952
9,0.909,1.0,0.952
10,1.0,0.778,0.875
11,0.833,1.0,0.909
12,0.833,1.0,0.909
13,0.636,1.0,0.778
14,1.0,1.0,1.0
15,0.692,1.0,0.818
16,0.8,0.8,0.8
17,0.8,1.0,0.889
18,0.833,1.0,0.909
19,1.0,0.6,0.75
